Season,Pos,Player,Team,Projected FFP
2024,QB,Josh Allen,BUF,405
2024,QB,Jalen Hurts,PHI,380
2024,QB,Lamar Jackson,BAL,377
2024,QB,Patrick Mahomes,KC,374
2024,QB,Anthony Richardson,IND,349
2024,QB,Jayden Daniels,WSH,349
2024,QB,Dak Prescott,DAL,338
2024,QB,C.J. Stroud,HOU,336
2024,QB,Joe Burrow,CIN,334
2024,QB,Jordan Love,GB,329
2024,QB,Trevor Lawrence,JAX,323
2024,QB,Brock Purdy,SF,321
2024,RB,Christian McCaffrey,SF,318
2024,QB,Caleb Williams,CHI,315
2024,QB,Kyler Murray,ARI,315
2024,QB,Jared Goff,DET,310
2024,QB,Tua Tagovailoa,MIA,306
2024,QB,Aaron Rodgers,NYJ,301
2024,QB,Deshaun Watson,CLE,299
2024,QB,Kirk Cousins,ATL,299
2024,QB,Matthew Stafford,LAR,294
2024,QB,Baker Mayfield,TB,286
2024,QB,Bo Nix,DEN,283
2024,QB,Bryce Young,CAR,281
2024,QB,Justin Herbert,LAC,280
2024,QB,Will Levis,TEN,277
2024,QB,Geno Smith,SEA,272
2024,WR,CeeDee Lamb,DAL,272
2024,QB,Sam Darnold,MIN,269
2024,WR,Tyreek Hill,MIA,266
2024,QB,Derek Carr,NO,262
2024,RB,Jonathan Taylor,IND,262
2024,RB,Breece Hall,NYJ,257
2024,WR,Amon-Ra St. Brown,DET,251
2024,RB,Bijan Robinson,ATL,246
2024,WR,Ja'Marr Chase,CIN,243
2024,RB,Saquon Barkley,PHI,242
2024,WR,Justin Jefferson,MIN,241
2024,RB,Derrick Henry,BAL,236
2024,QB,Daniel Jones,NYG,229
2024,WR,Puka Nacua,LAR,229
2024,WR,A.J. Brown,PHI,223
2024,RB,Joe Mixon,HOU,222
2024,QB,Russell Wilson,PIT,214
2024,RB,Kyren Williams,LAR,214
2024,RB,Josh Jacobs,GB,214
2024,RB,Isiah Pacheco,KC,214
2024,RB,Jahmyr Gibbs,DET,212
2024,WR,Cooper Kupp,LAR,212
2024,RB,Aaron Jones,MIN,211
2024,WR,Mike Evans,TB,210
2024,WR,Deebo Samuel,SF,209
2024,RB,Alvin Kamara,NO,208
2024,RB,De'Von Achane,MIA,207
2024,WR,Nico Collins,HOU,207
2024,WR,Jaylen Waddle,MIA,205
2024,WR,Brandon Aiyuk,SF,205
2024,WR,Tee Higgins,CIN,204
2024,QB,Drake Maye,NE,202
2024,WR,DeVonta Smith,PHI,201
2024,TE,Travis Kelce,KC,201
2024,WR,Drake London,ATL,198
2024,RB,Rachaad White,TB,197
